"","reference_de_larticle_doi"
"1","https://doi.org/10.1111/aen.12295"
"2","https://doi.org/10.1093/aob/mcx107"
"3","https://doi.org/10.3732/apps.1700002"
"4","https://doi.org/10.1111/efp.12402"
"5","https://doi.org/10.1007/s10530-017-1521-2"
"6","https://doi.org/10.1093/molbev/msx276"
"7","https://doi.org/10.1093/aob/mcw278"
"8","https://doi.org/10.1016/j.ecolmodel.2017.08.007"
"9","https://doi.org/10.1071/BT16125"
"10","https://doi.org/10.1016/j.ecoleng.2017.07.027"
"11","https://doi.org/10.1016/j.pedobi.2017.08.003"
"12","https://doi.org/10.1007/s10530-016-1284-1"
"13","https://doi.org/10.1093/aob/mcw244"
"14","https://doi.org/10.1007/s10493-017-0184-0"
"15","https://doi.org/10.1111/jvs.12456"
"16","https://doi.org/10.1007/s10980-017-0534-7"
"17","https://doi.org/10.1080/03014223.2016.1250787"
"18","https://doi.org/10.1111/aen.12234"
"19","https://doi.org/10.5252/a2017n1a5"
"20","https://doi.org/10.11646/phytotaxa.307.3.2"
"21","https://doi.org/10.1007/s10493-017-0156-4"
"22","https://doi.org/10.1093/botlinnean/bow001"
"23","https://doi.org/10.1093/biosci/bix125"
"24","https://doi.org/10.1111/2041-210X.12841"
"25","https://doi.org/10.1111/jbi.13021"
"26","https://doi.org/10.20417/nzjecol.41.9"
"27","https://doi.org/10.1111/pce.12859"
"28","https://doi.org/10.1016/j.ympev.2017.01.002"
"29","https://doi.org/10.3390/proteomes5030019"
"30","https://doi.org/10.4000/quaternaire.8345"
"31","https://doi.org/10.1071/BT16086"
"32",NA
"33","https://doi.org/10.3917/mult.068.0206"
"34","https://doi.org/10.1093/sysbio/syy070"
"35","https://doi.org/10.1016/j.sajb.2018.04.014"
"36","https://doi.org/10.1007/s10531-018-1659-y"
"37","https://doi.org/10.1051/cagri/2018012"
"38","https://doi.org/10.3389/fpls.2018.01352"
"39","https://doi.org/10.1111/aen.12295"
"40","https://doi.org/10.1016/j.geoderma.2017.09.033"
"41","https://doi.org/10.1007/s11104-017-3529-x"
"42","https://doi.org/10.1071/SB18016"
"43","https://doi.org/10.3897/phytokeys.110.27599."
"44","https://doi.org/10.1093/aob/mcx107"
"45","https://doi.org/10.1111/geb.12712"
"46","https://doi.org/10.11646/phytotaxa.349.3.1"
"47","https://10.1016/j.ecoleng.2017.12.024"
"48","https://doi.org/10.3390/rs10050698"
"49","https://doi.org/10.1111/efp.12402"
"50","https://doi.org/10.1371/journal.pone.0192249"
"51","https://doi.org/10.1002/ece3.4140"
"52",NA
"53","https://doi.org/10.5252/adansonia2018v40a8"
"54","https://doi.org/10.1093/molbev/msx276"
"55","https://doi.org/10.1007/978-3-319-98334-9_33"
"56",NA
"57","https://doi.org/10.1093/sysbio/syy070"
"58","https://doi.org/10.1111/jvs.12781"
"59","https://doi.org/10.1016/j.funeco.2019.02.006"
"60","https://doi.org/10.1016/j.marpol.2019.103704"
"61","http://dx.doi.org/10.15553/c2019v741a1"
